class,inst,l/t,cpi,ipc
"m256","vaddps","throughput","5.000977e-01","1.999609e+00"
"m256","vdivps","latency","1.100068e+01","9.090351e-02"
"m256","vdivps","throughput","5.000619e+00","1.999752e-01"
"m256","vdivpd","latency","1.300119e+01","7.691605e-02"
"m256","vdivpd","throughput","8.000822e+00","1.249872e-01"
"m256","vrsqrtps","latency","4.000519e+00","2.499676e-01"
"m256","vrsqrtps","throughput","1.000494e+00","9.995065e-01"
"m256","vrcpps","latency","4.000516e+00","2.499678e-01"
"m256","vrcpps","throughput","1.000447e+00","9.995532e-01"
"m256","vsqrtps","latency","1.200078e+01","8.332791e-02"
"m256","vsqrtps","throughput","6.000653e+00","1.666485e-01"
"m256","vperm2f128","latency","3.000293e+00","3.333008e-01"
"m256","vperm2f128","throughput","1.000032e+00","9.999680e-01"
"m256","vpxor","latency","2.056967e-01","4.861526e+00"
"m256","vpxor","throughput","2.061462e-01","4.850925e+00"
"m256","vpaddd","latency","1.000453e+00","9.995473e-01"
"m256","vpaddd","throughput","3.334050e-01","2.999355e+00"
"m256","vpermps","latency","3.000547e+00","3.332726e-01"
"m256","vpermps","throughput","1.000609e+00","9.993917e-01"
"m256","vpermpd","latency","3.000525e+00","3.332751e-01"
"m256","vpermpd","throughput","1.000541e+00","9.994588e-01"
"m256","vpblendvb","latency","2.000035e+00","4.999913e-01"
"m256","vpblendvb","throughput","1.000090e+00","9.999095e-01"
"m256","vpmovmskb","throughput","1.000035e+00","9.999646e-01"
"m256","vpmovsxwd","latency","3.000298e+00","3.333002e-01"
"m256","vpmovsxwd","throughput","1.000546e+00","9.994544e-01"
"m256","vpgatherdd","latency","2.200130e+01","4.545186e-02"
"m256","vpgatherdd","throughput","5.001067e+00","1.999573e-01"
"m256","gather32(<ld+ins>x8 + perm)","latency","1.636134e+01","6.111968e-02"
"m256","gather32(<ld+ins>x8 + perm)","throughput","4.002535e+00","2.498417e-01"
"m256","vgatherdpd","latency","2.000133e+01","4.999667e-02"
"m256","vgatherdpd","throughput","3.000677e+00","3.332582e-01"
"m256","gather64(<ld+ins>x4 + perm)","latency","1.245216e+01","8.030737e-02"
"m256","gather64(<ld+ins>x4 + perm)","throughput","2.215046e+00","4.514578e-01"
"m256","vpshufb","latency","1.000438e+00","9.995619e-01"
"m256","vpshufb","throughput","5.000413e-01","1.999835e+00"
"m256","vfmaps","latency","4.000525e+00","2.499672e-01"
"m256","vfmaps","throughput","5.000966e-01","1.999614e+00"
"m256","vfmapd","latency","4.000520e+00","2.499675e-01"
"m256","vfmapd","throughput","5.005370e-01","1.997854e+00"
"m128","vfmaps","latency","4.000518e+00","2.499676e-01"
"m128","vfmaps","throughput","5.006186e-01","1.997529e+00"
"m128","vfmapd","latency","4.000508e+00","2.499682e-01"
"m128","vfmapd","throughput","5.007112e-01","1.997159e+00"
"m512","vaddps","latency","4.000520e+00","2.499675e-01"
"m512","vaddps","throughput","5.008161e-01","1.996741e+00"
"m512","vaddpd","latency","4.000536e+00","2.499665e-01"
"m512","vaddpd","throughput","5.001556e-01","1.999378e+00"
"m512","vorps","latency","1.000536e+00","9.994647e-01"
"m512","vorps","throughput","5.000973e-01","1.999611e+00"
"m512","vorpd","latency","1.000032e+00","9.999682e-01"
"m512","vorpd","throughput","5.000407e-01","1.999837e+00"
"m512","vorps reg, reg, [mem]","latency","1.000497e+00","9.995033e-01"
"m512","vorps reg, reg, [mem]","throughput","8.895603e-01","1.124151e+00"
"m512","vfmaps","latency","4.000555e+00","2.499653e-01"
"m512","vfmaps","throughput","5.007430e-01","1.997032e+00"
"m512","vfmapd","latency","4.000518e+00","2.499676e-01"
"m512","vfmapd","throughput","5.001558e-01","1.999377e+00"
"m512","vfmaps reg, reg, [mem]","latency","4.000537e+00","2.499664e-01"
"m512","vfmaps reg, reg, [mem]","throughput","8.889565e-01","1.124914e+00"
"m512","vpexpandd","latency","3.000312e+00","3.332987e-01"
"m512","vpexpandd","throughput","2.000363e+00","4.999093e-01"
"m512","vplzcntq","latency","3.000644e+00","3.332617e-01"
"m512","vplzcntq","throughput","2.000063e+00","4.999842e-01"
"m512","vpconflictd","latency","2.644531e+01","3.781389e-02"
"m512","vpconflictd","throughput","1.939534e+01","5.155879e-02"
"m512","vpermt2d","latency","3.000334e+00","3.332963e-01"
"m512","vpermt2d","throughput","1.000032e+00","9.999684e-01"
"m512","vshufps","latency","1.000033e+00","9.999672e-01"
"m512","vshufps","throughput","1.000029e+00","9.999708e-01"
"m512","vrcp14pd","latency","6.000716e+00","1.666468e-01"
"m512","vrcp14pd","throughput","2.000446e+00","4.998885e-01"
"m512","vpternlogd","latency","1.000032e+00","9.999684e-01"
"m512","vpternlogd","throughput","5.000477e-01","1.999809e+00"
"m512","vpmuludq","latency","5.423089e+00","1.843967e-01"
"m512","vpmuludq","throughput","5.091983e-01","1.963871e+00"
"m512","vpmuludq reg, reg, [mem]","latency","5.435409e+00","1.839788e-01"
"m512","vpmuludq reg, reg, [mem]","throughput","8.889383e-01","1.124938e+00"
"m512","vpmulld","latency","1.091387e+01","9.162652e-02"
"m512","vpmulld","throughput","1.159078e+00","8.627544e-01"
"m512","vpmulld reg, reg, [mem]","latency","1.080249e+01","9.257123e-02"
"m512","vpmulld reg, reg, [mem]","throughput","1.104622e+00","9.052873e-01"
"m512","vpmullq","latency","1.622854e+01","6.161985e-02"
"m512","vpmullq","throughput","1.560699e+00","6.407384e-01"
"m512","vpmullq reg, reg, [mem]","latency","1.621161e+01","6.168420e-02"
"m512","vpmullq reg, reg, [mem]","throughput","1.561377e+00","6.404605e-01"
"m512","vpmadd52luq","latency","4.000290e+00","2.499819e-01"
"m512","vpmadd52luq","throughput","5.001625e-01","1.999350e+00"
"m512","vpmadd52luq reg, reg, [mem]","latency","4.000530e+00","2.499669e-01"
"m512","vpmadd52luq reg, reg, [mem]","throughput","8.895535e-01","1.124159e+00"
"m512","vpmadd52huq","latency","4.000548e+00","2.499658e-01"
"m512","vpmadd52huq","throughput","5.007381e-01","1.997052e+00"
"m512","vpmadd52huq reg, reg, [mem]","latency","4.000234e+00","2.499854e-01"
"m512","vpmadd52huq reg, reg, [mem]","throughput","8.889395e-01","1.124936e+00"
"m256","vpdpwssds","latency","5.000743e+00","1.999703e-01"
"m256","vpdpwssds","throughput","5.005008e-01","1.997999e+00"
"m256","vpdpwssd","latency","5.000746e+00","1.999702e-01"
"m256","vpdpwssd","throughput","5.005082e-01","1.997969e+00"
"m512","vpdpwssds","latency","5.430971e+00","1.841291e-01"
"m512","vpdpwssds","throughput","5.097667e-01","1.961682e+00"
"m512","vpdpwssd","latency","5.430200e+00","1.841553e-01"
"m512","vpdpwssd","throughput","5.091529e-01","1.964046e+00"
"reg64","popcnt","latency","3.000399e+00","3.332890e-01"
"reg64","popcnt","throughput","1.000031e+00","9.999689e-01"
"m128","aesenc","latency","3.000273e+00","3.333031e-01"
"m128","aesenc","throughput","5.000502e-01","1.999799e+00"
"m128","aesenclast","latency","3.000497e+00","3.332782e-01"
"m128","aesenclast","throughput","5.000517e-01","1.999793e+00"
"m128","aesdec","latency","3.000505e+00","3.332772e-01"
"m128","aesdec","throughput","5.000841e-01","1.999664e+00"
"m128","aesdeclast","latency","3.000500e+00","3.332778e-01"
"m128","aesdeclast","throughput","5.000810e-01","1.999676e+00"
"m128","pclmulqdq","latency","6.000505e+00","1.666527e-01"
"m128","pclmulqdq","throughput","1.000051e+00","9.999487e-01"
