class,inst,l/t,cpi,ipc
"m256","vpgatherdd","latency","2.400458e+01","4.165871e-02"
"m256","vpgatherdd","throughput","3.033781e+00","3.296216e-01"
"m256","gather32(<ld+ins>x8 + perm)","latency","1.628376e+01","6.141090e-02"
"m256","gather32(<ld+ins>x8 + perm)","throughput","3.502111e+00","2.855420e-01"
"m256","vgatherdpd","latency","2.300432e+01","4.347009e-02"
"m256","vgatherdpd","throughput","2.003643e+00","4.990908e-01"
"m256","gather64(<ld+ins>x4 + perm)","latency","1.243306e+01","8.043075e-02"
"m256","gather64(<ld+ins>x4 + perm)","throughput","1.501669e+00","6.659256e-01"
"m256","vpshufb","latency","1.000286e+00","9.997140e-01"
"m256","vpshufb","throughput","5.000348e-01","1.999861e+00"
"m256","vfmaps","latency","4.000828e+00","2.499482e-01"
"m256","vfmaps","throughput","5.002558e-01","1.998977e+00"
"m256","vfmapd","latency","4.000831e+00","2.499480e-01"
"m256","vfmapd","throughput","5.001604e-01","1.999358e+00"
"m128","vfmaps","latency","4.000810e+00","2.499494e-01"
"m128","vfmaps","throughput","5.003058e-01","1.998778e+00"
"m128","vfmapd","latency","4.000808e+00","2.499495e-01"
"m128","vfmapd","throughput","5.003064e-01","1.998775e+00"
"m512","vaddps","latency","3.485257e+00","2.869229e-01"
"m512","vaddps","throughput","5.000413e-01","1.999835e+00"
"m512","vaddpd","latency","3.485618e+00","2.868932e-01"
"m512","vaddpd","throughput","5.001613e-01","1.999355e+00"
"m512","vorps","latency","1.000263e+00","9.997371e-01"
"m512","vorps","throughput","5.002607e-01","1.998958e+00"
"m512","vorpd","latency","1.000158e+00","9.998421e-01"
"m512","vorpd","throughput","5.000460e-01","1.999816e+00"
"m512","vorps reg, reg, [mem]","latency","1.000373e+00","9.996269e-01"
"m512","vorps reg, reg, [mem]","throughput","5.015918e-01","1.993653e+00"
"m512","vfmaps","latency","4.000939e+00","2.499413e-01"
"m512","vfmaps","throughput","5.002560e-01","1.998976e+00"
"m512","vfmapd","latency","4.000863e+00","2.499461e-01"
"m512","vfmapd","throughput","5.000437e-01","1.999825e+00"
"m512","vfmaps reg, reg, [mem]","latency","4.000807e+00","2.499495e-01"
"m512","vfmaps reg, reg, [mem]","throughput","5.015134e-01","1.993965e+00"
"m512","vpexpandd","latency","3.000653e+00","3.332608e-01"
"m512","vpexpandd","throughput","2.000362e+00","4.999096e-01"
"m512","vplzcntq","latency","3.000665e+00","3.332595e-01"
"m512","vplzcntq","throughput","2.000354e+00","4.999115e-01"
"m512","vpconflictd","latency","2.632039e+01","3.799335e-02"
"m512","vpconflictd","throughput","1.930783e+01","5.179247e-02"
"m512","vpermt2d","latency","3.000643e+00","3.332619e-01"
"m512","vpermt2d","throughput","1.000153e+00","9.998474e-01"
"m512","vshufps","latency","1.000345e+00","9.996549e-01"
"m512","vshufps","throughput","1.000159e+00","9.998415e-01"
"m512","vrcp14pd","latency","6.001261e+00","1.666316e-01"
"m512","vrcp14pd","throughput","2.000353e+00","4.999116e-01"
"m512","vpternlogd","latency","1.000352e+00","9.996481e-01"
"m512","vpternlogd","throughput","5.001698e-01","1.999321e+00"
"m512","vpmuludq","latency","5.482119e+00","1.824112e-01"
"m512","vpmuludq","throughput","5.050250e-01","1.980100e+00"
"m512","vpmuludq reg, reg, [mem]","latency","5.482128e+00","1.824109e-01"
"m512","vpmuludq reg, reg, [mem]","throughput","5.407331e-01","1.849341e+00"
"m512","vpmulld","latency","1.098412e+01","9.104051e-02"
"m512","vpmulld","throughput","1.220140e+00","8.195779e-01"
"m512","vpmulld reg, reg, [mem]","latency","1.070829e+01","9.338563e-02"
"m512","vpmulld reg, reg, [mem]","throughput","1.123867e+00","8.897846e-01"
"m512","vpmullq","latency","1.612070e+01","6.203203e-02"
"m512","vpmullq","throughput","1.588169e+00","6.296558e-01"
"m512","vpmullq reg, reg, [mem]","latency","1.596520e+01","6.263624e-02"
"m512","vpmullq reg, reg, [mem]","throughput","1.708184e+00","5.854169e-01"
"m512","vpmadd52luq","latency","4.000951e+00","2.499406e-01"
"m512","vpmadd52luq","throughput","5.003760e-01","1.998497e+00"
"m512","vpmadd52luq reg, reg, [mem]","latency","4.000871e+00","2.499456e-01"
"m512","vpmadd52luq reg, reg, [mem]","throughput","5.040307e-01","1.984006e+00"
"m512","vpmadd52huq","latency","4.000644e+00","2.499597e-01"
"m512","vpmadd52huq","throughput","5.000415e-01","1.999834e+00"
"m512","vpmadd52huq reg, reg, [mem]","latency","4.000825e+00","2.499485e-01"
"m512","vpmadd52huq reg, reg, [mem]","throughput","5.030994e-01","1.987679e+00"
"reg64","popcnt","latency","3.000356e+00","3.332938e-01"
"reg64","popcnt","throughput","1.000198e+00","9.998023e-01"
"m128","aesenc","latency","3.000462e+00","3.332820e-01"
"m128","aesenc","throughput","5.000504e-01","1.999798e+00"
"m128","aesenclast","latency","3.000548e+00","3.332724e-01"
"m128","aesenclast","throughput","5.000485e-01","1.999806e+00"
"m128","aesdec","latency","3.000692e+00","3.332564e-01"
"m128","aesdec","throughput","5.001604e-01","1.999358e+00"
"m128","aesdeclast","latency","3.000350e+00","3.332945e-01"
"m128","aesdeclast","throughput","5.002645e-01","1.998943e+00"
"m128","pclmulqdq","latency","3.000350e+00","3.332945e-01"
"m128","pclmulqdq","throughput","1.000037e+00","9.999633e-01"
